word,count,category
economic history,159,other
equity law,158,other
mathematics sociology,158,other
literature political,157,other
family medicine,157,other
sex,156,other
grammar,156,other
chemistry gene,155,other
judaism,155,other
studies human,154,other
discourse analysis,154,other
abortion,154,other
feminism ideology,154,other
botany,153,other
privilege,153,other
coronavirus,153,other
period music,153,other
physics political,152,other
feminism psychology,152,other
war,152,other
opposition politics,151,other
publishing,151,other
sociology identity,150,other
aesthetics literature,150,other
law quantum,149,other
intelligence computer,149,other
politics art,149,other
clinical,148,other
economics sociology,148,other
classics,147,other
law literature,147,other
download,146,other
feminism psychoanalysis,146,other
feminism perspective,146,other
linguistics computer,145,other
gene chemistry,145,other
art politics,145,arts
corporate governance,145,other
injustice,144,other
privacy,144,other
science pedagogy,144,other
wife,144,other
public health,143,health
philosophy aesthetics,143,other
immigration,143,other
criminology political,143,other
psychology politics,142,other
political philosophy,141,other
privilege computing,141,other
philosophy physics,141,other
harassment,141,other
structural,141,other
process computing,141,other
physical,141,other
romance,141,other
beauty,141,other
psychology aesthetics,141,other
psychoanalysis art,141,other
archaeology gender,140,other
sexuality gender,140,other
literary criticism,140,other
phenomenon,140,other
object,139,other
ethics political,139,other
realism,139,other
mathematics geometry,138,other
politics epistemology,138,other
discipline,138,other
poverty,138,other
style,138,other
philosophy feminism,138,other
sociology human,138,other
philosophy literature,138,other
ambivalence,137,other
mathematics mathematical,137,other
science quantum,137,other
grassroots,137,other
history psychology,137,other
ethnology,137,other
law mathematics,137,other
planning,137,other
middle,137,other
sociology economic,136,other
pornography,136,other
typography,136,other
labour,135,other
construct,135,other
public sphere,135,other
sociology anthropology,135,other
market,135,other
relations sociology,134,other
clinical psychology,134,other
feminism human,133,other
new,133,other
science environmental,133,other
sociology context,133,other
python,132,other
paleontology biology,131,other
biography,131,other
history aesthetics,131,other
construct python,131,other
python library,131,other
psychology developmental,131,other
mathematics pure,130,other
psychological intervention,130,other
history politics,130,other
anthropology philosophy,130,other
individualism,129,other
german,129,other
sociology economics,129,other
rhetorical,129,other
building,129,other
internet privacy,129,other
politics computer,129,other
feminism social,129,other
feminism feminist,128,other
position,128,other
aesthetics psychology,128,other
feminism context,128,other
economics economics,128,other
feminism history,127,other
data science,127,other
content,127,other
sexual violence,127,other
vision,127,other
criminal,127,other
biology paleontology,126,other
silence,126,other
mental,126,other
aesthetics epistemology,126,other
2019,126,other
science criminology,125,other
set,125,other
question,125,other
society,125,other
sociology environmental,125,other
engineering philosophy,125,other
graphical sociology,125,other
cognitive psychology,124,psychology
relevance law,124,other
