word,count,category
campaign,35,other
conservative,35,other
feminism law,35,other
psychoanalytic,35,other
wing,35,other
celebrity,35,other
em gt,35,other
double,35,other
african women,35,other
church,35,other
feminist activism,35,other
far,35,other
ireland,35,other
groups,35,other
organizing,35,other
young people,35,other
breaking,35,other
intersectional feminism,35,other
things,35,other
11,34,other
countries,34,other
study feminism,34,other
imperialism,34,other
1975,34,other
speech,34,other
womanhood,34,other
identification,34,other
ethnic,34,other
ideologies,34,other
sex work,34,other
professional,34,other
eastern,34,other
effect,34,other
nigeria,34,other
backlash,34,other
egypt,34,other
romance,34,other
wars,34,other
fight,34,other
artists,34,other
feminist research,34,other
climate change,34,other
2021,34,other
pleasure,34,other
sense,34,other
qualitative study,34,other
marketing,34,other
margins,34,other
big,33,other
imagining,33,other
edit,33,other
organization,33,other
postcolonial feminism,33,other
examination,33,other
complex,33,other
posthuman,33,other
paradox,33,other
pages,33,other
conceptual,33,other
gender justice,33,other
networks,33,other
leaders,33,other
formation,33,other
potential,33,other
publishing,33,other
migrant,33,other
asia,33,other
schools,33,other
israel,33,other
military,33,other
emotional,33,other
native,33,other
feminism sexual,33,other
sexual politics,33,other
na,33,other
companion,33,other
comparison,33,other
white feminism,33,other
12,33,other
1968,33,other
training,33,other
versus,33,other
taylor,33,other
water,33,other
utopia,33,other
1991,33,other
visions,33,other
fourth wave,32,other
interaction,32,other
lady,32,other
face,32,other
order,32,other
progress,32,other
game,32,other
cancer,32,other
resilience,32,other
eating,32,other
magazine,32,other
comparative study,32,other
women politics,32,other
interrogating,32,other
promise,32,other
trouble,32,other
gender race,32,other
dance,32,other
dis,32,other
tool,32,other
racist,32,other
iranian,32,other
critical theory,32,other
norms,32,other
sciences,32,other
inequalities,32,other
vs,32,other
mexico,32,other
criminal,32,other
swedish,32,other
hidden,32,other
feminism socialism,32,other
exclusion,32,other
postmodern feminism,32,other
enlightenment,32,other
feminism global,31,other
14,31,other
ecofeminist,31,other
13,31,other
feminism nationalism,31,other
men feminism,31,other
angela,31,other
generational,31,other
reconstruction,31,other
coming,31,other
recovery,31,other
1989,31,other
shame,31,other
perempuan dalam,31,other
jennifer,31,other
interventions,31,other
reception,31,other
intimate partner,31,other
daughter,31,other
