word,count
challenges reforms,44
media asian,44
international relations,43
peace security,43
film journalism,43
comparative,43
archiving,43
data analysis,43
national identity,43
global peace,43
adoption,43
analysis archiving,43
literature film,43
analysis american,43
journalism analysis,43
representation foucault,43
security dynamics,43
economic theory,43
communication education,42
autobiographical biographical,42
autobiographical,42
economic development,42
environmental education,42
political studies,42
biographical writing,42
history analysis,41
communication language,41
culture south,41
society jewish,41
intelligence,41
history memory,41
political history,41
studies reforms,41
digital marketing,41
studies communism,41
european political,41
studies simone,41
north,40
grief,40
adventure,40
ethics political,40
bereavement mental,40
north african,40
studies global,40
studies work,40
memory narrative,40
ethics regulation,40
biomedical ethics,40
oral,40
oral history,40
ethics religion,40
grief bereavement,40
development religion,40
narrative analysis,40
history jewish,40
security public,40
seeking,40
bereavement,40
media religion,40
global security,40
sensation,40
adventure sports,40
sensation seeking,40
sports sensation,40
writing literature,40
education learning,39
issues sexuality,39
philosophy political,39
education perceptions,39
philosophical ethics,39
ethics theory,39
travel writing,39
catholicism religious,39
travel,39
culture asian,39
rights education,39
historical geography,39
metaphor cognition,39
language metaphor,39
welfare adoption,39
services,39
metaphor,39
educational research,39
youth development,38
epidemiology,38
social support,38
studies youth,38
resilience,38
technology education,38
politics political,38
religion digital,38
gender technology,38
natural,38
brazil,38
misinformation impacts,37
emotional labor,37
misinformation,37
adaptation migration,37
professions,37
phenomenology,37
spaces,37
psychological,37
geographical,37
change adaptation,37
studies sexuality,37
diverse education,37
pregnancy,37
epistemologies,37
privacy,37
market,37
hiv aids,37
labor professions,37
health care,37
aids,37
library science,37
energy,37
colonialism identity,36
studies japanese,36
german colonialism,36
child adolescent,36
identity education,36
development aid,36
policy african,36
clinical,36
practices influences,36
studies south,36
existential philosophy,36
existential,36
digital technology,36
breastfeeding,36
marxism gender,36
empathy,36
empathy medical,36
nutrition,36
institutions,36
education brazil,36
dynamics social,36
methods media,36
breastfeeding practices,36
aid,36
international development,36
phenomenology existential,36
technology social,36
theory institutions,36
wikis education,36
wikis,36
science history,36
media use,36
studies migration,35
cultural heritage,35
studies canadian,35
education gender,35
learning practices,35
homicide,35
homicide infanticide,35
studies german,35
socio political,35
health diverse,35
violence gender,35
media influence,35
evolution,35
media music,35
innovation socioeconomic,35
function,35
infanticide child,35
infanticide,35
historical literary,35
soviet,35
moral emotional,34
practices religion,34
values,34
analysis cultural,34
scientific,34
judgment,34
emotional judgment,34
china,34
psychology moral,34
academic freedom,33
psychology gender,33
media contemporary,33
geography geographical,33
mining,33
recreation leisure,33
geographical thought,33
wilderness management,33
recreation,33
freedom politics,33
race identity,33
affairs,33
advertising media,33
wilderness,33
foreign policy,33
relations foreign,33
analysis folklore,33
foreign,33
treatments,33
bioethics,33
learning teaching,33
neuroscience,33
analytics,33
leisure,33
leisure wilderness,33
history research,33
research social,33
philosophy applications,33
german legal,33
economics,32
military history,32
east rwanda,32
wittgensteinian,32
analysis crime,32
media feminism,32
dynamics chile,32
balkans history,32
dynamics migration,32
studies spanish,32
cancer,32
chile latin,32
psychosocial,32
chile,32
wittgensteinian philosophy,32
cultural politics,32
balkans,32
digital education,32
rwanda,32
american cultural,32
social justice,32
rwanda conflicts,32
enlightenment historical,32
language learning,32
caribbean african,32
african literature,32
justice studies,32
education society,32
politics communism,32
studies caribbean,32
service learning,31
education governance,31
ethics metaphysics,31
dynamics political,31
epistemology ethics,31
education practises,31
differences,31
competency health,31
global health,31
protection,31
community engagement,31
healthcare systems,31
studies postcolonial,31
health policies,31
inequality historical,31
cultural competency,31
innovative education,31
practises,31
practises engagement,31
attachment,31
competency,31
governance development,31
marxism historical,31
culture cinema,31
learning community,31
access,31
language analysis,31
metaphysics,31
american socio,31
science extraterrestrial,30
clinical research,30
extraterrestrial,30
polish historical,30
social representations,30
extraterrestrial life,30
representation electoral,30
society islamic,30
approaches,30
representations,30
rights legal,30
ethics law,30
based,30
banking,30
politics digital,30
retirement,30
ethics clinical,30
asia,30
thomas,30
representations identity,30
menstrual,30
menstrual health,30
decision,30
culture art,30
health disorders,30
space science,30
